,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
371,"Realme 5 Pro (Crystal Green, 128 GB)",MediaTek Helio P22 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"In-Display Fingerprint Sensor, Monster Touch Buttons",48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,"₹16,999",4000 mAh Lithium Polymer Battery
372,"Samsung Galaxy M31 (Space Black, 128 GB)",MediaTek | MT6739WW quad core  Processor,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,Super AMOLED Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,"₹17,629",4000 mAh Lithium-ion Battery
373,"Redmi Note 8 (Cosmic Purple, 64 GB)",A13 Bionic Chip Processor,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,"₹13,999",4000 mAh Lithium-ion Battery
374,"Redmi 9 Power (Electric Green, 128 GB)",Qualcomm Snapdragon 855+ Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹13,490",4000 mAh Lithium-ion Battery
375,"Mi 10i (Atlantic Blue, 128 GB)",Qualcomm Snapdragon 665 Processor,6 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP Rear Camera | 8MP Front Camera,"₹27,895",6000 mAh Battery
376,"Mi 10i (Pacific Sunrise, 128 GB)",Qualcomm Snapdragon 665 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,All Screen OLED Display,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹25,513",5000 mAh Lithium-ion Battery
377,"Vivo Y12 (Aqua Blue, 64 GB)",Exynos 850 Octa Core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.76 cm (6.6 inch) Full HD+ Display,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹10,990",4000 mAh Battery
378,"Samsung M01 core (Red, 16 GB)",Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM,90 Hz Ultra Smooth Display,13MP + 2MP + 8MP | 8MP Front Camera,"₹5,674",5020 mAh Battery
379,"Apple iPhone 11 Pro (Midnight Green, 64 GB)",Exynos 850 Octa Core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Side Fingerprint Sensor | Dual In Display Selfie,8MP Rear Camera | 5MP Front Camera,"₹82,999",4000 mAh Lithium Polymer Battery
380,"Realme X3 SuperZoom (Glacier Blue, 128 GB)",MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,12MP + 12MP + 12MP | 12MP Front Camera,"₹27,999",5000 mAh Battery
381,"OPPO A52 (Twilight Black, 128 GB)",Exynos 9611 Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,In-Display Fingerprint 3.0 with 0.32 Second Unlock,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,"₹16,990",4025 mAh Battery
382,"OPPO A9 2020 (Marine Green, 128 GB)",Qualcomm Snapdragon 665 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹15,990",5000 mAh Battery
